Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Alex DeBrincat,Hurtzville Hosers,CHI,RW,18,27,10,0,4,6,0,207,19,58,0,0,0,0,108,108,20,0,4,12,0,186.3,19,58,0,0,0,0,515.3
Ryan Pulock,Hurtzville Hosers,NYI,D,10,25,3,0,3,5,0,163,139,110,0,0,0,0,60,100,6,0,3,10,0,146.70000000000002,139,110,0,0,0,0,574.7
Miro Heiskanen,Hurtzville Hosers,DAL,D,8,27,0,0,0,7,0,163,84,40,0,0,0,0,48,108,0,0,0,14,0,146.70000000000002,84,40,0,0,0,0,440.70000000000005
Braden Holtby,Hurtzville Hosers,WSH,G,0,0,0,0,0,0,0,0,0,0,25,142,1243,0,0,0,0,0,0,0,0,0,0,0,125,-426,745.8,0,444.79999999999995
Mathew Barzal,Hurtzville Hosers,NYI,C,19,41,4,0,2,8,0,171,43,22,0,0,0,0,114,164,8,0,2,16,0,153.9,43,22,0,0,0,0,522.9
Jonathan Toews,Hurtzville Hosers,CHI,C,18,42,1,1,3,7,0,172,35,56,0,0,0,0,108,168,2,3,3,14,0,154.8,35,56,0,0,0,0,543.8
Sergei Bobrovsky,Hurtzville Hosers,FLA,G,0,0,0,0,0,0,0,0,0,0,23,151,1354,1,0,0,0,0,0,0,0,0,0,0,115,-453,812.4,6,480.4
Jaden Schwartz,Phil Kessel's Sister,STL,C,22,35,9,0,4,11,0,162,28,60,0,0,0,0,132,140,18,0,4,22,0,145.8,28,60,0,0,0,0,549.8
Nathan MacKinnon,Phil Kessel's Sister,COL,C,35,58,12,0,4,19,0,318,31,51,0,0,0,0,210,232,24,0,4,38,0,286.2,31,51,0,0,0,0,876.2
Mark Stone,Phil Kessel's Sister,VEG,RW,21,42,6,0,3,11,1,168,51,56,0,0,0,0,126,168,12,0,3,22,2,151.20000000000002,51,56,0,0,0,0,591.2
Kris Letang,Phil Kessel's Sister,PIT,D,15,29,6,0,2,9,0,177,91,101,0,0,0,0,90,116,12,0,2,18,0,159.3,91,101,0,0,0,0,589.3
Shea Weber,Phil Kessel's Sister,MTL,D,15,21,3,0,2,5,0,185,114,112,0,0,0,0,90,84,6,0,2,10,0,166.5,114,112,0,0,0,0,584.5
David Rittich,Phil Kessel's Sister,CGY,G,0,0,0,0,0,0,0,0,0,0,24,138,1340,2,0,0,0,0,0,0,0,0,0,0,120,-414,804.0,12,522.0
Philipp Grubauer,Phil Kessel's Sister,COL,G,0,0,0,0,0,0,0,0,0,0,18,90,977,2,0,0,0,0,0,0,0,0,0,0,90,-270,586.1999999999999,12,418.19999999999993
Nick Foligno,Phil Kessel's Sister,CBJ,LW,10,21,2,0,1,2,1,131,50,212,0,0,0,0,60,84,4,0,1,4,2,117.9,50,212,0,0,0,0,534.9
Neal Pionk,Phil Kessel's Sister,WPG,D,6,39,3,0,1,22,0,177,78,165,0,0,0,0,36,156,6,0,1,44,0,159.3,78,165,0,0,0,0,645.3
Chris Kreider,Hot Hockey Hair,NYR,LW,24,21,9,0,5,4,0,156,42,116,0,0,0,0,144,84,18,0,5,8,0,140.4,42,116,0,0,0,0,557.4
Sean Monahan,Hot Hockey Hair,CGY,C,22,26,8,0,5,8,0,166,22,65,0,0,0,0,132,104,16,0,5,16,0,149.4,22,65,0,0,0,0,509.4
Nikita Kucherov,Hot Hockey Hair,TBL,RW,33,52,4,0,6,21,0,210,19,37,0,0,0,0,198,208,8,0,6,42,0,189.0,19,37,0,0,0,0,707.0
Victor Hedman,Hot Hockey Hair,TBL,D,11,44,4,0,3,18,0,155,98,73,0,0,0,0,66,176,8,0,3,36,0,139.5,98,73,0,0,0,0,599.5
Brayden McNabb,Hot Hockey Hair,VEG,D,2,7,0,1,0,0,0,73,133,201,0,0,0,0,12,28,0,3,0,0,0,65.7,133,201,0,0,0,0,442.7
Jacob Markstrom,Hot Hockey Hair,VAN,G,0,0,0,0,0,0,0,0,0,0,23,117,1303,2,0,0,0,0,0,0,0,0,0,0,115,-351,781.8,12,557.8
Reilly Smith,Hot Hockey Hair,VEG,RW,27,27,3,2,6,2,2,169,30,55,0,0,0,0,162,108,6,6,6,4,4,152.1,30,55,0,0,0,0,533.1
Brendan Gallagher,Hot Hockey Hair,MTL,RW,22,21,1,0,1,4,0,226,29,53,0,0,0,0,132,84,2,0,1,8,0,203.4,29,53,0,0,0,0,512.4
Corey Crawford,Hot Hockey Hair,CHI,G,0,0,0,0,0,0,0,0,0,0,16,108,1186,1,0,0,0,0,0,0,0,0,0,0,80,-324,711.6,6,473.6
Brad Marchand,Got Malk?,BOS,LW,28,59,5,1,5,23,2,185,19,55,0,0,0,0,168,236,10,3,5,46,4,166.5,19,55,0,0,0,0,712.5
