Brandon Davidson\davidbr01,CGY,D,0,0,0,0,0,0,0,13,15,10
Brandon Davidson\davidbr01,SJS,D,0,0,0,0,0,0,0,4,5,14
Jonathan Davidsson\davidjo03,OTT,RW,0,1,0,0,0,0,0,3,1,5
Calvin de Haan\dehaaca01,CHI,D,1,5,0,0,0,0,0,42,73,93
Jacob de La Rose\delarja01,TOT,LW,2,7,0,0,0,0,0,46,16,120
Jacob de La Rose\delarja01,STL,LW,1,4,0,0,0,0,0,31,7,88
Jacob de La Rose\delarja01,DET,LW,1,3,0,0,0,0,0,15,9,32
Chase De Leo\deleoch01,ANA,C,0,0,0,0,0,0,0,1,0,1
Jean-Sebastien Dea\deaje01,BUF,C,0,0,0,0,0,0,0,0,0,3
Anthony DeAngelo\deangan01,NYR,D,15,38,3,0,3,16,0,149,57,48
Alex DeBrincat\debrial01,CHI,RW,18,27,10,0,4,6,0,207,19,58
Jake Debrusk\debruja01,BOS,LW,19,16,7,0,5,3,0,161,15,35
Danny DeKeyser\dekeyda01,DET,D,0,4,0,0,0,0,0,12,18,6
Michael Del Zotto\delzomi01,ANA,D,2,13,0,0,0,1,0,57,55,101
Dylan DeMelo\demeldy01,TOT,D,0,10,0,0,0,0,2,74,77,105
Dylan DeMelo\demeldy01,OTT,D,0,10,0,0,0,0,2,64,63,94
Dylan DeMelo\demeldy01,WPG,D,0,0,0,0,0,0,0,10,14,11
Jason Demers\demerja01,ARI,D,0,11,0,0,0,0,1,53,70,76
Travis Dermott\dermotr01,TOR,D,4,7,0,0,1,0,0,65,58,76
Nicolas Deslauriers\deslani01,ANA,LW,7,6,0,0,1,0,0,64,32,137
Phillip Di Giuseppe\digiuph01,NYR,LW,1,3,0,0,0,0,0,35,20,38
Thomas Di Pauli\dipauth01,PIT,C,0,0,0,0,0,0,0,2,1,4
Jason Dickinson\dickija01,DAL,C,9,12,0,0,1,0,1,85,55,89
Brenden Dillon\dillobr01,TOT,D,1,13,0,0,0,0,1,58,74,194
Brenden Dillon\dillobr01,SJS,D,1,13,0,0,0,0,1,48,67,178
Brenden Dillon\dillobr01,WSH,D,0,0,0,0,0,0,0,10,7,16
Christian Djoos\djoosch01,TOT,D,1,2,0,0,0,1,0,13,12,2
Christian Djoos\djoosch01,ANA,D,1,2,0,0,0,1,0,12,12,2
Christian Djoos\djoosch01,WSH,D,0,0,0,0,0,0,0,1,0,0
Noah Dobson\dobsono01,NYI,D,1,6,0,0,0,1,0,37,31,25
Max Domi\domima01,MTL,LW,17,27,1,0,3,10,0,179,13,32
Ryan Donato\donatry01,MIN,C,14,9,0,0,1,2,0,95,14,53
Joonas Donskoi\donskjo01,COL,RW,16,17,4,0,2,1,0,111,38,25
Drew Doughty\doughdr01,LAK,D,7,28,5,0,2,9,1,141,87,106
Nic Dowd\dowdni01,WSH,C,7,8,0,3,1,0,0,52,26,117
Justin Dowling\dowliju01,DAL,C,3,3,0,0,1,0,0,29,12,25
Leon Draisaitl\draisle01,EDM,C,43,67,16,0,10,28,0,218,19,27
Sheldon Dries\driessh01,COL,C,0,0,0,0,0,0,0,2,2,16
Jonathan Drouin\drouijo01,MTL,LW,7,8,1,0,1,3,0,51,5,25
Dillon Dube\dubedi01,CGY,C,6,10,1,0,2,1,0,60,13,59
Pierre-Luc Dubois\duboipi01,CBJ,LW,18,31,1,0,4,9,0,158,50,85
Matt Duchene\duchema01,NSH,C,13,29,5,0,1,6,0,136,22,40
Anthony Duclair\duclaan01,OTT,LW,23,17,5,2,2,3,0,184,39,53
Mathew Dumba\dumbama01,MIN,D,6,18,1,0,1,7,1,167,88,98
Gabriel Dumont\dumonga01,MIN,C,0,0,0,0,0,0,0,3,2,9
Brian Dumoulin\dumoubr01,PIT,D,1,7,0,1,0,1,0,35,35,44
Vince Dunn\dunnvi02,STL,D,9,14,4,0,1,6,0,138,47,50
Christian Dvorak\dvorach01,ARI,C,18,20,6,0,2,4,0,134,36,39
Ryan Dzingel\dzingry01,CAR,C,8,21,4,0,1,5,0,98,25,36
Cody Eakin\eakinco01,TOT,C,5,10,0,0,1,1,0,61,16,49
Cody Eakin\eakinco01,VEG,C,4,6,0,0,0,1,0,53,14,41
Cody Eakin\eakinco01,WPG,C,1,4,0,0,1,0,0,8,2,8
Jordan Eberle\eberljo01,NYI,RW,16,24,4,0,1,7,0,136,39,37
Alexander Edler\edleral01,VAN,D,5,28,1,0,1,6,0,118,162,108
Joel Edmundson\edmunjo01,CAR,D,7,13,0,0,0,0,0,97,91,118
Nikolaj Ehlers\ehlerni01,WPG,LW,25,33,3,1,5,2,0,203,28,36
Christoffer Ehn\ehnch01,DET,C,2,2,0,0,0,0,0,36,18,59
Jack Eichel\eicheja01,BUF,C,36,42,11,1,9,16,0,227,42,40
Aaron Ekblad\ekblaaa01,FLA,D,5,36,0,0,1,6,1,147,84,34
Mattias Ekholm\ekholma01,NSH,D,8,25,0,1,2,5,1,154,100,49
Oliver Ekman-Larsson\ekmanol01,ARI,D,9,21,2,1,1,5,0,135,65,129
Lars Eller\ellerla01,WSH,C,16,23,2,1,1,4,1,151,44,59
Ryan Ellis\ellisry01,NSH,D,8,30,2,0,3,7,0,114,96,48
Deryk Engelland\engelde01,VEG,D,1,5,0,0,1,0,1,59,86,114
Andreas Englund\engluan01,OTT,D,0,3,0,0,0,0,0,10,16,58
Pierre Engvall\engvapi01,TOR,LW,8,7,0,1,3,0,1,72,10,29
Tyler Ennis\ennisty01,TOT,C,16,21,5,0,1,5,0,159,26,96
Tyler Ennis\ennisty01,OTT,C,14,19,5,0,1,5,0,139,22,76
Tyler Ennis\ennisty01,EDM,C,2,2,0,0,0,0,0,20,4,20
Jonathan Ericsson\ericsjo01,DET,D,0,0,0,0,0,0,0,16,14,24
Loui Eriksson\erikslo01,VAN,LW,6,7,0,0,0,0,0,59,15,10
Joel Eriksson Ek\eriksjo02,MIN,C,8,21,1,0,4,0,1,102,43,93
Adam Erne\ernead01,DET,LW,2,3,0,0,0,0,0,63,25,142
Jake Evans\evansja02,MTL,C,2,1,0,0,0,0,0,14,5,16
Robby Fabbri\fabbrro01,TOT,C,15,17,6,0,3,3,0,111,14,75
Robby Fabbri\fabbrro01,DET,C,14,17,6,0,3,3,0,104,13,63
Robby Fabbri\fabbrro01,STL,C,1,0,0,0,0,0,0,7,1,12
Dante Fabbro\fabbrda01,NSH,D,5,6,1,0,0,0,0,92,85,54
Radek Faksa\faksara01,DAL,C,11,9,3,0,3,0,0,109,44,84
Oscar Fantenberg\fanteos01,VAN,D,1,5,0,0,0,1,0,45,62,67
