Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
MacKenzie Blackwood,Good Canadian Boys,NJD,G,0,0,0,0,0,0,0,0,0,0,22,124,1328,3,0,0,0,0,0,0,0,0,0,0,110,-372,796.8,18,552.8
Brayden Point,Oakland Eh's,TBL,C,25,39,8,0,4,5,0,141,30,24,0,0,0,0,150,156,16,0,4,10,0,126.9,30,24,0,0,0,0,516.9
Ryan O'Reilly,Oakland Eh's,STL,C,12,49,2,1,3,16,0,118,42,16,0,0,0,0,72,196,4,3,3,32,0,106.2,42,16,0,0,0,0,474.2
Gabriel Landeskog,Oakland Eh's,COL,LW,21,23,6,0,4,9,0,145,35,86,0,0,0,0,126,92,12,0,4,18,0,130.5,35,86,0,0,0,0,503.5
Andre Burakovsky,Oakland Eh's,COL,LW,20,25,2,0,6,9,0,103,34,26,0,0,0,0,120,100,4,0,6,18,0,92.7,34,26,0,0,0,0,400.7
Andrew Mangiapane,Oakland Eh's,CGY,LW,17,15,0,0,2,1,0,109,25,73,0,0,0,0,102,60,0,0,2,2,0,98.10000000000001,25,73,0,0,0,0,362.1
Jason Zucker,Oakland Eh's,TOT,LW,20,21,7,0,4,5,0,111,23,53,0,0,0,0,120,84,14,0,4,10,0,99.9,23,53,0,0,0,0,407.9
Darnell Nurse,Oakland Eh's,EDM,D,5,28,0,0,1,5,0,170,141,172,0,0,0,0,30,112,0,0,1,10,0,153.0,141,172,0,0,0,0,619.0
Jeff Petry,Oakland Eh's,MTL,D,11,29,3,1,3,9,0,158,79,177,0,0,0,0,66,116,6,3,3,18,0,142.20000000000002,79,177,0,0,0,0,610.2
Alex Goligoski,Oakland Eh's,ARI,D,4,28,2,0,0,9,0,101,134,91,0,0,0,0,24,112,4,0,0,18,0,90.9,134,91,0,0,0,0,473.9
Brent Burns,Oakland Eh's,SJS,D,12,33,5,0,1,12,1,225,115,72,0,0,0,0,72,132,10,0,1,24,2,202.5,115,72,0,0,0,0,630.5
Sean Couturier,Oakland Eh's,PHI,C,22,37,4,0,4,9,0,185,26,60,0,0,0,0,132,148,8,0,4,18,0,166.5,26,60,0,0,0,0,562.5
Brady Tkachuk,Oakland Eh's,OTT,LW,21,23,2,0,3,6,0,259,43,303,0,0,0,0,126,92,4,0,3,12,0,233.1,43,303,0,0,0,0,816.1
Blake Wheeler,Oakland Eh's,WPG,RW,22,43,4,1,2,18,1,180,51,102,0,0,0,0,132,172,8,3,2,36,2,162.0,51,102,0,0,0,0,670.0
Tyson Barrie,Oakland Eh's,TOR,D,5,34,1,0,0,11,0,169,76,47,0,0,0,0,30,136,2,0,0,22,0,152.1,76,47,0,0,0,0,465.1
Vladimir Tarasenko,Oakland Eh's,STL,RW,3,7,1,0,0,2,0,26,7,17,0,0,0,0,18,28,2,0,0,4,0,23.400000000000002,7,17,0,0,0,0,99.4
Victor Olofsson,Oakland Eh's,BUF,RW,20,22,11,0,4,6,0,127,16,10,0,0,0,0,120,88,22,0,4,12,0,114.3,16,10,0,0,0,0,386.3
Tristan Jarry,Oakland Eh's,PIT,G,0,0,0,0,0,0,0,0,0,0,20,78,907,3,0,0,0,0,0,0,0,0,0,0,100,-234,544.1999999999999,18,428.19999999999993
Jordan Binnington,Oakland Eh's,STL,G,0,0,0,0,0,0,0,0,0,0,30,126,1304,3,0,0,0,0,0,0,0,0,0,0,150,-378,782.4,18,572.4
Juuse Saros,Oakland Eh's,NSH,G,0,0,0,0,0,0,0,0,0,0,17,98,1044,4,0,0,0,0,0,0,0,0,0,0,85,-294,626.4,24,441.4
William Karlsson,Jersey City Wok,VEG,C,15,31,2,2,1,6,3,138,38,40,0,0,0,0,90,124,4,6,1,12,6,124.2,38,40,0,0,0,0,445.2
Tyler Johnson,Jersey City Wok,TBL,C,14,17,1,0,2,6,0,113,22,62,0,0,0,0,84,68,2,0,2,12,0,101.7,22,62,0,0,0,0,353.7
Alex Killorn,Jersey City Wok,TBL,C,26,23,8,0,7,5,0,130,15,59,0,0,0,0,156,92,16,0,7,10,0,117.0,15,59,0,0,0,0,472.0
Brayden Schenn,Jersey City Wok,STL,C,25,33,10,0,4,11,0,138,21,119,0,0,0,0,150,132,20,0,4,22,0,124.2,21,119,0,0,0,0,592.2
Kevin Labanc,Jersey City Wok,SJS,RW,14,19,3,0,3,6,0,176,24,46,0,0,0,0,84,76,6,0,3,12,0,158.4,24,46,0,0,0,0,409.4
Gustav Nyquist,Jersey City Wok,CBJ,RW,15,27,3,1,3,6,0,151,26,37,0,0,0,0,90,108,6,3,3,12,0,135.9,26,37,0,0,0,0,420.9
Dmitry Orlov,Jersey City Wok,WSH,D,4,23,1,0,2,4,1,105,82,106,0,0,0,0,24,92,2,0,2,8,2,94.5,82,106,0,0,0,0,412.5
John Carlson,Jersey City Wok,WSH,D,15,60,2,0,6,24,0,189,108,55,0,0,0,0,90,240,4,0,6,48,0,170.1,108,55,0,0,0,0,721.1
Samuel Girard,Jersey City Wok,COL,D,4,30,1,0,1,12,0,96,92,46,0,0,0,0,24,120,2,0,1,24,0,86.4,92,46,0,0,0,0,395.4
Jonathan Huberdeau,Jersey City Wok,FLA,LW,23,55,5,0,3,24,0,152,26,51,0,0,0,0,138,220,10,0,3,48,0,136.8,26,51,0,0,0,0,632.8
Dustin Brown,Jersey City Wok,LAK,RW,17,18,1,0,1,4,0,169,15,143,0,0,0,0,102,72,2,0,1,8,0,152.1,15,143,0,0,0,0,495.1
Rasmus Dahlin,Jersey City Wok,BUF,D,4,36,2,0,1,17,0,90,51,72,0,0,0,0,24,144,4,0,1,34,0,81.0,51,72,0,0,0,0,411.0
Auston Matthews,Jersey City Wok,TOR,C,47,33,12,0,5,13,0,290,60,40,0,0,0,0,282,132,24,0,5,26,0,261.0,60,40,0,0,0,0,830.0
Cam Atkinson,Jersey City Wok,CBJ,RW,12,14,3,0,2,5,0,148,21,18,0,0,0,0,72,56,6,0,2,10,0,133.20000000000002,21,18,0,0,0,0,318.20000000000005
Mikko Rantanen,Jersey City Wok,COL,RW,19,22,8,0,5,6,0,107,23,28,0,0,0,0,114,88,16,0,5,12,0,96.3,23,28,0,0,0,0,382.3
Andrei Vasilevskiy,Jersey City Wok,TBL,G,0,0,0,0,0,0,0,0,0,0,35,133,1472,3,0,0,0,0,0,0,0,0,0,0,175,-399,883.1999999999999,18,677.1999999999999
Martin Jones,Jersey City Wok,SJS,G,0,0,0,0,0,0,0,0,0,0,17,118,1021,2,0,0,0,0,0,0,0,0,0,0,85,-354,612.6,12,355.6
Henrik Lundqvist,Jersey City Wok,NYR,G,0,0,0,0,0,0,0,0,0,0,10,84,799,1,0,0,0,0,0,0,0,0,0,0,50,-252,479.4,6,283.4
Jack Eichel,Tkachuk E. Cheese's,BUF,C,36,42,11,1,9,16,0,227,42,40,0,0,0,0,216,168,22,3,9,32,0,204.3,42,40,0,0,0,0,736.3
Dylan Larkin,Tkachuk E. Cheese's,DET,C,19,34,5,0,0,9,0,223,45,52,0,0,0,0,114,136,10,0,0,18,0,200.70000000000002,45,52,0,0,0,0,575.7
David Perron,Tkachuk E. Cheese's,STL,LW,25,35,9,0,9,18,0,166,19,67,0,0,0,0,150,140,18,0,9,36,0,149.4,19,67,0,0,0,0,588.4
Matthew Tkachuk,Tkachuk E. Cheese's,CGY,LW,23,38,5,0,4,14,0,188,22,122,0,0,0,0,138,152,10,0,4,28,0,169.20000000000002,22,122,0,0,0,0,645.2
Tyler Bertuzzi,Tkachuk E. Cheese's,DET,LW,21,27,3,0,1,11,0,129,30,71,0,0,0,0,126,108,6,0,1,22,0,116.10000000000001,30,71,0,0,0,0,480.1
Patrick Kane,Tkachuk E. Cheese's,CHI,RW,33,51,8,0,2,15,0,275,19,24,0,0,0,0,198,204,16,0,2,30,0,247.5,19,24,0,0,0,0,740.5
John Marino,Tkachuk E. Cheese's,PIT,D,6,20,1,0,0,3,0,61,77,72,0,0,0,0,36,80,2,0,0,6,0,54.9,77,72,0,0,0,0,327.9
Brian Dumoulin,Tkachuk E. Cheese's,PIT,D,1,7,0,1,0,1,0,35,35,44,0,0,0,0,6,28,0,3,0,2,0,31.5,35,44,0,0,0,0,149.5
Brady Skjei,Tkachuk E. Cheese's,TOT,D,8,16,0,0,1,0,2,139,96,103,0,0,0,0,48,64,0,0,1,0,4,125.10000000000001,96,103,0,0,0,0,441.1
Jaccob Slavin,Tkachuk E. Cheese's,CAR,D,6,30,0,0,3,3,1,145,107,43,0,0,0,0,36,120,0,0,3,6,2,130.5,107,43,0,0,0,0,447.5
Ryan Nugent-Hopkins,Tkachuk E. Cheese's,EDM,C,22,39,7,0,4,17,0,172,44,33,0,0,0,0,132,156,14,0,4,34,0,154.8,44,33,0,0,0,0,571.8
Mike Hoffman,Tkachuk E. Cheese's,FLA,C,29,30,11,0,3,10,0,214,22,33,0,0,0,0,174,120,22,0,3,20,0,192.6,22,33,0,0,0,0,586.6
Frank Vatrano,Tkachuk E. Cheese's,FLA,LW,16,18,2,2,4,0,0,162,43,102,0,0,0,0,96,72,4,6,4,0,0,145.8,43,102,0,0,0,0,472.8
Jordan Eberle,Tkachuk E. Cheese's,NYI,RW,16,24,4,0,1,7,0,136,39,37,0,0,0,0,96,96,8,0,1,14,0,122.4,39,37,0,0,0,0,413.4
Ben Chiarot,Tkachuk E. Cheese's,MTL,D,9,12,0,0,3,0,0,130,128,152,0,0,0,0,54,48,0,0,3,0,0,117.0,128,152,0,0,0,0,502.0
Tuukka Rask,Tkachuk E. Cheese's,BOS,G,0,0,0,0,0,0,0,0,0,0,26,85,1104,5,0,0,0,0,0,0,0,0,0,0,130,-255,662.4,30,567.4
Joonas Korpisalo,Tkachuk E. Cheese's,CBJ,G,0,0,0,0,0,0,0,0,0,0,19,92,938,2,0,0,0,0,0,0,0,0,0,0,95,-276,562.8,12,393.79999999999995
Adam Henrique,Mad World Partners,ANA,C,26,17,5,0,1,4,0,169,32,75,0,0,0,0,156,68,10,0,1,8,0,152.1,32,75,0,0,0,0,502.1
Emil Bemstrom,Mad World Partners,CBJ,C,10,10,5,0,4,3,0,97,17,52,0,0,0,0,60,40,10,0,4,6,0,87.3,17,52,0,0,0,0,276.3
Filip Forsberg,Mad World Partners,NSH,C,21,27,7,0,2,7,0,198,27,82,0,0,0,0,126,108,14,0,2,14,0,178.20000000000002,27,82,0,0,0,0,551.2
